,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nombre d'IVG selon le département ou la région de résidence de la femme, le lieu de réalisation de l'IVG et la méthode",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,non compris les ré-interventions dans un délai de 9 semaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2022,,,,,,,2021,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,IVG en établissements hospitaliers,,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,IVG en établissements hospitaliers,,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,,IVG en établissements hospitaliers,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,,,,,,,,,,,,,,,,,,,,,
,,Zone géographique,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral 1,centres 2,,,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral*,centres**,,,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral*,centres**,,,,,,,,,,,,,,,,,,,,,,,
,,Ain,371,786,12,616,43,1 828,"13,1",329,776,11,457,26,1 599,"11,4",323,792,12,436,16,1 579,"11,3",,,,,,,,,,,,,,,,,,,,,
,,Aisne,287,1 058,4,200,4,1 553,"14,9",261,1 096,1,156,4,1 518,"14,4",260,1 059,3,133,5,1 460,"13,7",,,,,,,,,,,,,,,,,,,,,
,,Allier,164,340,5,379,2,890,"15,2",162,399,8,304,6,879,"14,8",175,400,3,255,7,840,"14,0",,,,,,,,,,,,,,,,,,,,,
,,Alpes-de-Haute-Provence,107,260,1,168,69,605,"20,6",98,227,2,188,53,568,"19,2",118,258,9,145,34,564,"19,0",,,,,,,,,,,,,,,,,,,,,
,,Hautes-Alpes,78,95,6,279,41,499,"19,9",69,110,6,266,51,502,"19,7",85,105,4,265,35,494,"19,1",,,,,,,,,,,,,,,,,,,,,
,,Alpes-Maritimes,774,1 155,92,3 131,103,5 255,"23,7",723,1 240,79,2 682,58,4 782,"21,5",894,1 340,113,2 233,127,4 707,"21,2",,,,,,,,,,,,,,,,,,,,,
,,Ardèche,146,504,1,206,44,901,"15,1",133,503,2,220,29,887,"14,8",197,475,2,239,35,948,"15,7",,,,,,,,,,,,,,,,,,,,,
,,Ardennes,86,240,37,337,4,704,"13,7",76,264,1,317,2,660,"12,7",86,261,0,253,1,601,"11,4",,,,,,,,,,,,,,,,,,,,,
