,,Zone géographique,2022,2021,2020,2021,2020,2019,2018,2017,2016
,,Ain,"0,27","0,23","0,23","0,23","0,24","0,24","0,21","0,21","0,22"
,,Aisne,"0,29","0,28","0,27","0,28","0,29","0,29","0,28","0,27","0,28"
,,Allier,"0,34","0,32","0,32","0,31","0,35","0,30","0,31","0,29","0,30"
,,Alpes-de-Haute-Provence,"0,45","0,39","0,42","0,42","0,44","0,46","0,45","0,43","0,50"
,,Hautes-Alpes,"0,40","0,39","0,43","0,42","0,44","0,41","0,43","0,39","0,76"
,,Alpes-Maritimes,"0,47","0,42","0,42","0,42","0,44","0,43","0,41","0,40","0,39"
,,Ardèche,"0,33","0,31","0,34","0,34","0,33","0,32","0,32","0,28","0,37"
,,Ardennes,"0,29","0,27","0,24","0,26","0,28","0,24","0,20","0,23","0,22"
,,Ariège,"0,46","0,43","0,43","0,47","0,46","0,43","0,36","0,37","0,50"
,,Aube,"0,32","0,30","0,31","0,33","0,30","0,30","0,30","0,29","0,28"
,,Aude,"0,44","0,40","0,39","0,40","0,41","0,43","0,43","0,41","0,40"
,,Aveyron,"0,32","0,26","0,29","0,29","0,28","0,32","0,29","0,27","0,26"
,,Bouches-du-Rhône,"0,41","0,38","0,38","0,39","0,39","0,41","0,39","0,38","0,38"
,,Calvados,"0,28","0,23","0,25","0,25","0,24","0,27","0,26","0,25","0,24"
,,Cantal,"0,32","0,28","0,31","0,32","0,29","0,28","0,28","0,29","0,29"
,,Charente,"0,37","0,30","0,34","0,36","0,32","0,34","0,32","0,31","0,29"
,,Charente-Maritime,"0,35","0,33","0,29","0,29","0,36","0,34","0,32","0,31","0,29"
,,Cher,"0,30","0,29","0,27","0,28","0,31","0,29","0,29","0,26","0,25"
,,Corrèze,"0,34","0,34","0,33","0,35","0,35","0,31","0,30","0,28","0,27"
,,Corse-du-Sud,"0,46","0,40","0,45","0,48","0,43","0,46","0,44","0,39","0,38"
,,Haute-Corse,"0,42","0,41","0,42","0,44","0,43","0,50","0,43","0,44","0,45"
,,Côte-d'Or,"0,28","0,28","0,24","0,26","0,27","0,28","0,26","0,24","0,24"
,,Côtes-d'Armor,"0,32","0,27","0,29","0,28","0,29","0,30","0,26","0,26","0,26"
,,Creuse,"0,32","0,28","0,29","0,30","0,30","0,24","0,25","0,24","0,24"
,,Dordogne,"0,39","0,35","0,40","0,40","0,37","0,39","0,39","0,35","0,35"
,,Doubs,"0,30","0,27","0,26","0,27","0,28","0,27","0,24","0,23","0,22"
,,Drôme,"0,31","0,28","0,29","0,30","0,29","0,27","0,27","0,25","0,25"
,,Eure,"0,29","0,26","0,28","0,29","0,27","0,29","0,27","0,27","0,25"
,,Eure-et-Loir,"0,30","0,25","0,27","0,28","0,26","0,31","0,27","0,27","0,25"
,,Finistère,"0,28","0,25","0,26","0,26","0,26","0,26","0,25","0,22","0,22"
,,Gard,"0,37","0,34","0,35","0,36","0,35","0,35","0,35","0,32","0,31"
,,Haute-Garonne,"0,35","0,32","0,33","0,34","0,33","0,35","0,32","0,31","0,31"
,,Gers,"0,30","0,28","0,27","0,27","0,30","0,31","0,30","0,29","0,27"
,,Gironde,"0,35","0,31","0,32","0,32","0,33","0,34","0,33","0,32","0,32"
,,Hérault,"0,40","0,37","0,37","0,37","0,38","0,38","0,37","0,36","0,35"
,,Ille-et-Vilaine,"0,26","0,22","0,24","0,24","0,23","0,24","0,24","0,22","0,22"
,,Indre,"0,33","0,27","0,28","0,29","0,29","0,30","0,27","0,27","0,26"
,,Indre-et-Loire,"0,28","0,23","0,24","0,24","0,24","0,24","0,24","0,21","0,20"
,,Isère,"0,28","0,25","0,26","0,27","0,25","0,27","0,26","0,23","0,23"
,,Jura,"0,28","0,27","0,27","0,28","0,27","0,25","0,25","0,23","0,22"
,,Landes,"0,34","0,30","0,31","0,32","0,31","0,31","0,31","0,29","0,28"
,,Loir-et-Cher,"0,27","0,23","0,23","0,24","0,24","0,25","0,23","0,21","0,20"
,,Loire,"0,27","0,26","0,24","0,25","0,26","0,25","0,23","0,22","0,21"
,,Haute-Loire,"0,29","0,24","0,25","0,25","0,25","0,23","0,23","0,23","0,23"
,,Loire-Atlantique,"0,25","0,23","0,24","0,24","0,25","0,25","0,24","0,22","0,22"
,,Loiret,"0,30","0,27","0,27","0,28","0,27","0,28","0,28","0,27","0,26"
,,Lot,"0,41","0,37","0,37","0,38","0,39","0,40","0,36","0,35","0,34"
,,Lot-et-Garonne,"0,38","0,33","0,35","0,36","0,34","0,35","0,35","0,34","0,33"
,,Lozère,"0,31","0,30","0,40","0,38","0,35","0,33","0,29","0,34","0,30"
,,Maine-et-Loire,"0,22","0,20","0,21","0,21","0,22","0,22","0,19","0,18","0,18"
,,Manche,"0,23","0,20","0,22","0,22","0,21","0,23","0,22","0,20","0,20"
,,Marne,"0,31","0,26","0,27","0,28","0,29","0,28","0,25","0,25","0,24"
